[Command: python -u /media/data/Causal_Inference/experiment_synthetic/main.py]
00000 | 0.00000 | 31.14490 | 88.58960 | [+0.9900, +0.9900, +0.9900, +0.9900, +0.9900, +0.9900, +0.9900, +0.9900, +0.9900, +0.9900]
01000 | 0.00000 | 7.59206 | 0.69374 | [+0.3903, +0.3635, +0.2420, +0.4383, +0.3678, +0.7358, +0.6873, +0.7686, +0.6615, +0.7469]
02000 | 0.00000 | 7.53188 | 0.39631 | [+0.4044, +0.3788, +0.2390, +0.4538, +0.3896, +0.7170, +0.6679, +0.7603, +0.6451, +0.7226]
03000 | 0.00000 | 7.88248 | 0.17758 | [+0.5885, +0.5469, +0.4038, +0.5917, +0.5985, +0.5840, +0.5516, +0.6415, +0.5546, +0.5898]
04000 | 0.00000 | 11.78847 | 0.01016 | [+0.8991, +0.8419, +0.7494, +0.8799, +0.9566, +0.2924, +0.2826, +0.3397, +0.3096, +0.3010]
05000 | 0.00000 | 14.37441 | 0.00164 | [+0.9526, +0.9027, +0.8613, +0.9754, +1.0369, +0.1915, +0.1803, +0.2074, +0.1938, +0.1922]
06000 | 0.00000 | 16.05197 | 0.00040 | [+0.9736, +0.9229, +0.9105, +1.0129, +1.0709, +0.1362, +0.1262, +0.1366, +0.1341, +0.1303]
07000 | 0.00000 | 17.22331 | 0.00013 | [+0.9852, +0.9317, +0.9359, +1.0311, +1.0867, +0.1005, +0.0920, +0.0929, +0.0976, +0.0902]
08000 | 0.00000 | 18.08119 | 0.00006 | [+0.9924, +0.9364, +0.9505, +1.0413, +1.0933, +0.0759, +0.0685, +0.0633, +0.0729, +0.0625]
09000 | 0.00000 | 18.71986 | 0.00004 | [+0.9980, +0.9395, +0.9593, +1.0476, +1.0946, +0.0584, +0.0518, +0.0424, +0.0555, +0.0426]
10000 | 0.00000 | 19.17076 | 0.00003 | [+1.0031, +0.9423, +0.9640, +1.0515, +1.0918, +0.0464, +0.0405, +0.0281, +0.0437, +0.0291]
11000 | 0.00000 | 19.39566 | 0.00003 | [+1.0075, +0.9451, +0.9655, +1.0535, +1.0868, +0.0406, +0.0349, +0.0212, +0.0380, +0.0225]
12000 | 0.00000 | 19.47123 | 0.00002 | [+1.0114, +0.9479, +0.9650, +1.0544, +1.0816, +0.0385, +0.0331, +0.0190, +0.0362, +0.0204]
13000 | 0.00000 | 19.48029 | 0.00002 | [+1.0151, +0.9506, +0.9639, +1.0548, +1.0761, +0.0382, +0.0329, +0.0188, +0.0361, +0.0203]
14000 | 0.00000 | 19.46317 | 0.00009 | [+1.0188, +0.9539, +0.9620, +1.0546, +1.0707, +0.0386, +0.0339, +0.0191, +0.0362, +0.0213]
15000 | 0.00000 | 19.43825 | 0.00002 | [+1.0222, +0.9559, +0.9608, +1.0552, +1.0650, +0.0391, +0.0338, +0.0203, +0.0374, +0.0221]
16000 | 0.00000 | 19.41349 | 0.00004 | [+1.0257, +0.9585, +0.9592, +1.0551, +1.0597, +0.0398, +0.0345, +0.0209, +0.0379, +0.0233]
